Year,No,Yes
1993,23541,1380
1994,22556,1369
1995,21307,1247
1996,19966,1116
1997,18667,975
1998,17197,963
1999,16410,894
2000,15345,846
2001,14934,822
2002,14093,757
2003,13993,713
2004,13679,722
2005,13283,690
2006,12971,659
2007,12484,698
2008,12225,571
2009,10188,494
2010,10492,509
2011,9949,506
2012,9403,482
2013,9034,461
2014,8883,466
2015,9025,481
2016,8788,445
