age_grp,total,us,fb
0_4, 19.867 , 19.600 ,0.267
5_24, 85.042 , 79.682 ,5.360
25_44, 83.946 , 67.185 ,16.761
45_54, 43.460 , 35.480 ,7.980
55_64, 40.062 , 34.301 ,5.760
65_74, 26.355 , 22.854 ,3.501
75_84, 13.768 , 11.918 ,1.850
85p, 6.057 , 5.343 ,0.714
all, 318.558 , 276.364 ,42.194
