age_grp,total,us,fb
0_4,19.974,19.722,0.251
5_24,85.077,79.447,5.630
25_44,83.033,66.314,16.719
45_54,44.248,36.644,7.604
55_64,38.597,33.262,5.335
65_74,23.994,20.825,3.169
75_84,13.365,11.666,1.698
85p,5.819,5.170,0.650
all,314.107,273.050,41.057
