state,yr_txt,yr,usb,0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85p,
Nebraska,09-13,4,0,0,0,22,22,16,7,13,0,0,0,
Nebraska,14-18,5,0,0,0,19,35,24,16,8,0,6,0,
Nevada,94-98,1,0,5,6,27,58,63,40,49,33,12,0,
Nevada,99-03,2,0,0,8,33,56,63,41,45,26,11,0,
Nevada,04-08,3,0,0,0,44,56,68,53,60,28,21,0,
Nevada,09-13,4,0,11,12,28,51,56,59,44,44,25,7,
Nevada,14-18,5,0,0,0,18,40,48,43,41,38,22,10,
New Hampshire,94-98,1,0,0,0,0,12,0,8,5,0,0,0,
New Hampshire,99-03,2,0,0,0,12,26,11,6,0,0,0,0,
New Hampshire,04-08,3,0,0,0,8,11,13,0,7,10,0,0,
New Hampshire,09-13,4,0,0,0,11,9,11,7,0,5,0,0,
New Hampshire,14-18,5,0,0,0,5,17,9,10,0,0,5,0,
New Jersey,94-98,1,0,14,63,218,432,340,214,131,114,73,28,
New Jersey,99-03,2,0,7,29,276,477,303,215,148,124,75,25,
New Jersey,04-08,3,0,0,19,245,469,336,224,163,123,89,29,
New Jersey,09-13,4,0,0,6,152,353,246,184,161,121,76,31,
New Jersey,14-18,5,0,0,12,128,256,214,173,182,128,103,34,
New Mexico,94-98,1,0,0,0,11,15,21,13,18,19,9,0,
New Mexico,99-03,2,0,0,0,8,11,10,16,10,19,14,0,
New Mexico,04-08,3,0,0,0,6,15,15,20,19,22,16,0,
New Mexico,09-13,4,0,0,0,10,21,14,17,12,30,14,0,
New Mexico,14-18,5,0,0,0,14,17,17,23,17,29,14,0,
New York,94-98,1,0,47,138,836,1399,1229,783,518,450,281,123,
New York,99-03,2,0,22,85,720,1287,1061,643,456,372,228,86,
New York,04-08,3,0,25,69,603,1080,839,647,464,371,247,81,
New York,09-13,4,0,13,42,445,803,653,524,466,326,232,100,
New York,14-18,5,0,13,23,337,620,478,460,507,340,292,120,
North Carolina,94-98,1,0,5,9,68,88,73,42,23,20,5,0,
North Carolina,99-03,2,0,6,10,138,206,112,60,28,10,11,0,
North Carolina,04-08,3,0,7,14,133,210,113,59,50,24,20,6,
North Carolina,09-13,4,0,0,13,88,147,102,59,50,38,10,7,
North Carolina,14-18,5,0,0,5,47,125,105,88,39,51,31,10,
North Dakota,94-98,1,0,0,0,0,0,0,0,0,0,0,0,
North Dakota,99-03,2,0,0,0,0,0,0,0,0,0,0,0,
North Dakota,04-08,3,0,0,0,0,5,0,0,0,0,0,0,
North Dakota,09-13,4,0,0,0,9,7,5,0,0,0,0,0,
North Dakota,14-18,5,0,0,0,11,13,6,9,0,0,0,0,
Ohio,94-98,1,0,0,5,36,76,29,24,22,28,21,8,
Ohio,99-03,2,0,0,12,107,127,75,31,28,25,24,8,
Ohio,04-08,3,0,13,24,106,151,90,36,31,28,24,0,
Ohio,09-13,4,0,5,15,67,134,66,46,29,28,22,0,
Ohio,14-18,5,0,0,12,64,144,86,56,41,44,33,6,
Oklahoma,94-98,1,0,0,0,22,26,24,25,13,8,5,0,
Oklahoma,99-03,2,0,0,0,36,49,23,16,14,9,5,0,
Oklahoma,04-08,3,0,0,7,32,41,29,24,16,12,6,0,
Oklahoma,09-13,4,0,7,6,20,37,21,15,9,9,0,0,
Oklahoma,14-18,5,0,6,7,21,37,17,25,14,17,6,0,
Oregon,94-98,1,0,6,16,75,109,63,37,23,32,19,12,
Oregon,99-03,2,0,5,11,59,97,54,39,27,36,18,0,
Oregon,04-08,3,0,0,10,44,65,57,42,34,25,23,10,
Oregon,09-13,4,0,0,0,31,65,48,37,36,31,14,5,
Oregon,14-18,5,0,0,0,25,47,45,33,46,30,19,7,
Pennsylvania,94-98,1,0,9,21,88,130,110,62,58,55,28,11,
Pennsylvania,99-03,2,0,15,17,107,199,114,70,66,54,48,17,
Pennsylvania,04-08,3,0,17,47,123,207,150,102,70,55,48,9,
Pennsylvania,09-13,4,0,0,18,95,172,130,78,96,58,36,10,
Pennsylvania,14-18,5,0,0,7,57,139,110,92,93,84,63,14,
Rhode Island,94-98,1,0,0,0,19,30,33,16,21,9,0,0,
Rhode Island,99-03,2,0,0,8,31,35,24,20,16,11,8,0,
Rhode Island,04-08,3,0,5,6,16,36,25,18,19,12,8,0,
Rhode Island,09-13,4,0,0,0,9,20,15,12,10,14,6,0,
Rhode Island,14-18,5,0,0,0,9,16,8,13,8,13,7,0,
South Carolina,94-98,1,0,0,0,16,39,12,12,7,10,0,0,
South Carolina,99-03,2,0,0,0,46,46,27,17,6,8,0,0,
South Carolina,04-08,3,0,0,5,64,74,32,20,16,9,6,0,
South Carolina,09-13,4,0,0,0,35,50,24,22,18,8,0,0,
South Carolina,14-18,5,0,0,0,23,32,21,16,7,7,6,0,
South Dakota,94-98,1,0,0,0,0,10,0,0,0,0,0,0,
South Dakota,99-03,2,0,0,0,5,5,0,0,0,0,0,0,
South Dakota,04-08,3,0,0,0,5,9,0,0,0,0,0,0,
South Dakota,09-13,4,0,0,0,5,7,0,0,0,0,0,0,
South Dakota,14-18,5,0,0,0,0,12,5,0,0,0,0,0,
Tennessee,94-98,1,0,0,7,39,53,31,27,12,9,0,0,
Tennessee,99-03,2,0,7,12,50,76,40,28,14,10,8,0,
Tennessee,04-08,3,0,6,11,68,121,52,37,20,13,8,0,
Tennessee,09-13,4,0,5,0,47,95,60,35,16,13,9,0,
Tennessee,14-18,5,0,5,0,42,72,60,40,32,23,11,0,
Texas,94-98,1,0,52,94,498,735,590,423,385,319,180,70,
Texas,99-03,2,0,25,77,457,785,574,487,370,275,223,55,
Texas,04-08,3,0,30,56,505,943,706,557,390,300,198,64,
Texas,09-13,4,0,14,41,446,825,674,544,456,299,205,70,
Texas,14-18,5,0,7,37,433,683,666,568,537,360,267,69,
Utah,94-98,1,0,0,10,15,21,22,11,6,5,0,5,
Utah,99-03,2,0,0,10,14,31,10,13,14,12,6,0,
Utah,04-08,3,0,0,0,23,32,17,13,6,12,5,0,
Utah,09-13,4,0,0,0,10,42,17,15,14,9,9,0,
Utah,14-18,5,0,0,0,12,20,22,14,14,7,7,0,
Vermont,94-98,1,0,0,0,0,0,0,0,0,0,0,0,
Vermont,99-03,2,0,0,0,0,0,0,0,0,0,0,0,
Vermont,04-08,3,0,0,0,5,0,0,0,0,0,0,0,
Vermont,09-13,4,0,0,0,0,0,5,0,0,0,0,0,
Vermont,14-18,5,0,0,0,0,9,0,0,0,0,0,0,
Virginia,94-98,1,0,0,9,120,196,123,87,64,70,33,9,
Virginia,99-03,2,0,8,19,161,295,159,113,78,49,33,9,
Virginia,04-08,3,0,12,23,187,319,202,137,94,65,58,11,
Virginia,09-13,4,0,0,20,102,238,156,125,80,75,43,14,
Virginia,14-18,5,0,0,15,72,176,147,111,125,100,50,16,
Washington,94-98,1,0,31,16,121,176,132,107,90,81,36,13,
Washington,99-03,2,0,12,15,140,197,128,116,83,81,61,11,
Washington,04-08,3,0,8,18,153,205,142,102,96,83,73,31,
Washington,09-13,4,0,10,13,95,211,115,86,98,99,77,21,
Washington,14-18,5,0,0,5,85,168,111,110,97,99,77,29,
West Virginia,94-98,1,0,0,0,0,0,0,5,0,0,0,0,
West Virginia,99-03,2,0,0,0,0,0,0,0,0,0,0,0,
West Virginia,04-08,3,0,0,0,6,5,6,0,0,0,0,0,
West Virginia,09-13,4,0,0,0,6,5,0,0,0,0,0,0,
West Virginia,14-18,5,0,0,0,0,0,0,0,0,0,0,0,
Wisconsin,94-98,1,0,0,0,39,34,23,23,23,24,14,0,
Wisconsin,99-03,2,0,5,5,39,61,35,20,18,18,10,0,
Wisconsin,04-08,3,0,0,0,39,70,30,24,8,19,15,0,
Wisconsin,09-13,4,0,0,0,27,58,27,23,22,21,8,5,
Wisconsin,14-18,5,0,0,0,16,37,24,20,26,21,18,8,
Wyoming,94-98,1,0,0,0,0,0,0,0,0,0,0,0,
Wyoming,99-03,2,0,0,0,0,0,0,0,0,0,0,0,
Wyoming,04-08,3,0,0,0,0,5,0,0,0,0,0,0,
Wyoming,09-13,4,0,0,0,5,0,0,0,0,0,0,0,
Wyoming,14-18,5,0,0,0,0,0,0,0,0,0,0,0,
