,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
10,2325360,2447996,2623103,2974006,2811166,2769205,2719985,3742297,3473006,3478283,3473252,3614497,3717727,3825073,3933774,4020780,4082146,4243904,4264703,4262865,4263921,4333927,4256429,4194673,4139447,3972391,3756460,3656833,3578599,3634230,3729085,3807110,3499586,3308761,3308761,3229060,3305864,3253109,3404520,3430270,3538746,3712645,3810655,3829516,3768473,3900144,3930865,3959574,4035230,4144940,4274056,4277249,4243816,4205042,4151951,4150122,4121105,4075718,4093680,4133090,4225412,4186959,4045601,4073237,4115033,4119269,4144625,4191919
11,2292510,2324584,2448869,2623543,2975880,2814443,2774962,2726273,3749985,3482375,3489877,3476571,3606125,3695383,3786885,3878958,3952738,3998066,4140607,4145705,4138932,4139134,4215705,4149643,4098453,4056388,3900197,3695735,3609470,3541822,3604713,3690985,3763436,3456456,3456456,3266693,3186466,3259800,3206778,3353946,3377306,3678118,3692127,3796036,3816106,3757198,3891750,3927924,3959695,4036399,4115093,4344913,4295720,4254047,4207721,4149228,4141970,4106492,4055388,4066605,4096193,4115452,4145939,4056173,4085016,4128022,4132611,4157962
12,2265018,2294245,2327720,2451326,2627071,2980158,2820730,2781183,2731853,3758204,3491706,3495250,3485569,3617270,3707388,3800029,3896753,3972967,4020126,4165280,4175165,4174936,4166881,4236385,4162888,4106910,4055659,3891370,3684367,3593400,3526994,3598921,3682678,3753786,3753786,3449276,3261127,3181455,3254287,3203941,3349611,3504884,3707649,3727762,3832675,3854253,3798286,3938327,3978089,4011128,4075842,4183955,4380351,4332987,4293550,4251162,4196880,4192002,4159477,4110576,4119403,4113239,4208003,4156759,4067899,4097932,4141353,4145953
13,2166039,2263382,2290686,2320100,2440657,2612448,2961160,2798675,2754957,2703780,3700245,3434732,3446619,3444174,3580494,3676247,3777761,3881399,3964708,4019792,4174574,4192739,4193163,4186826,4258683,4189041,4132265,4081028,3921073,3715376,3626046,3553599,3623857,3706645,3706645,3779052,3474591,3285552,3206241,3280781,3230151,3432293,3557576,3761340,3775338,3875030,3893189,3834661,3970975,4004643,4010850,4113191,4209025,4401393,4350199,4308851,4264733,4207326,4200016,4164413,4109069,4119585,4136655,4219019,4169022,4081296,4111886,4155315
14,2163732,2169776,2271955,2302026,2335904,2461584,2640702,2996847,2836085,2797368,2770401,3814413,3537894,3545889,3538419,3672861,3768291,3866498,3967100,4047383,4100251,4254445,4266512,4262073,4251081,4321156,4243008,4178966,4126053,3960321,3749497,3649792,3575021,3642878,3642878,3726194,3799385,3494318,3305020,3227299,3301022,3428015,3477756,3606749,3808694,3820424,3921019,3940211,3881192,4016254,4052231,4059370,4132509,4221884,4408259,4353216,4308450,4259504,4198094,4185880,4143934,4145490,4135424,4148560,4232526,4183831,4096727,4127305
15,2132602,2110824,2121429,2223638,2257092,2294550,2423680,2603159,2957721,2804400,2759342,2734077,3769670,3501539,3513943,3510524,3650609,3748478,3850540,3955996,4043855,4100796,4257060,4273105,4273266,4268471,4340062,4264166,4208291,4159794,3998828,3783568,3681408,3604276,3604276,3672874,3757404,3831207,3525419,3337171,3258534,3311819,3484289,3536566,3663343,3864742,3876042,3978082,3996722,3934744,4019404,4083878,4097876,4172654,4264863,4456969,4406515,4364495,4318982,4259907,4246829,4230902,4143882,4149009,4164225,4249635,4201611,4114560
16,2055407,2155565,2128050,2131213,2227465,2254733,2287083,2407100,2576464,2919823,2750756,2721876,2700044,3724202,3462482,3476677,3477928,3616414,3715305,3819366,3931856,4019319,4077625,4236799,4257208,4263489,4259631,4333169,4266046,4214501,4170006,4000951,3787043,3685509,3685509,3611198,3682274,3769121,3844664,3543198,3356248,3380269,3350995,3525035,3572649,3695963,3896547,3907117,4006784,4021862,3975021,4108304,4126961,4139141,4213762,4308145,4502997,4452250,4411176,4365338,4302394,4313090,4174315,4160427,4167605,4184373,4270670,4222691
17,2091956,2062072,2163113,2134566,2138662,2235977,2265473,2296166,2415841,2586987,2938626,2781674,2751782,2728595,3758932,3493366,3507925,3503826,3640360,3737682,3847703,3953863,4037981,4095001,4253657,4274385,4275907,4268477,4345269,4276495,4226453,4173839,4013718,3807720,3807468,3715408,3650102,3729968,3826777,3915582,3619735,3370656,3461568,3427399,3592728,3631602,3748968,3943852,3944590,4034403,4046075,4028736,4148590,4160313,4167308,4239509,4331493,4521045,4467060,4421341,4369588,4376158,4267964,4195438,4183519,4192344,4210248,4296575
18,2164344,2085366,2058190,2159585,2135040,2142406,2244273,2274288,2306640,2431016,2612578,2975853,2816416,2785555,2762842,3804349,3535518,3544889,3539053,3676105,3781499,3878359,3975748,4052657,4102644,4255537,4265516,4257434,4247327,4316231,4244663,4171004,4124549,3977774,3970322,3765596,3679484,3612654,3693745,3794606,3880497,3409679,3354371,3455461,3428000,3600609,3650186,3779765,3983628,3992875,4054933,4102851,4084316,4201835,4214061,4225126,4301050,4394638,4588123,4534634,4487337,4490385,4359020,4293061,4222786,4213143,4223290,4241226
19,2231096,2143533,2064397,2034765,2135882,2111504,2119953,2217436,2244557,2276715,2380875,2545669,2912447,2769149,2752014,2741815,3789819,3534168,3558084,3567070,3728184,3836171,3947500,4061281,4154823,4222944,4393025,4417073,4429193,4434889,4525422,4411195,4354966,4351633,4320386,4165555,3957974,3869625,3807701,3905784,4018089,3831119,3613616,3545403,3634956,3593439,3761119,3802179,3921490,4114939,4139148,4132515,4152627,4123223,4242558,4256465,4265654,4335388,4425539,4611590,4552939,4570789,4427917,4385466,4322239,4254939,4245565,4256608
