0-4,26216.25
5-14,5571.23
15-24,32025.72
25-34,60218.15
35-44,79800.00
45-54,170155.39
55-64,372027.81
65-74,531638.00
75-84,657794.18
85-94,707584.84
95p,170471.36
total,2813502.93
