year,total,native,foreign-born
1950,150.21611,139.868715,10.347395
1960,179.325671,169.58758,9.738091
1970,203.210158,193.590856,9.619302
1980,226.545805,212.465899,14.079906
1990,248.709873,228.942557,19.767316
2000,281.421906,250.314017,31.107889
2010,303.965272,265.290260,38.675012
