year,homeless,all
1993,1228,17564
1994,1390,21692
1995,1360,21364
1996,1335,20267
1997,1272,19120
1998,1158,18028
1999,1113,17289
2000,988,15963
2001,945,15499
2002,909,14811
2003,940,14597
2004,851,14391
2005,824,13980
2006,834,13661
2007,741,13209
2008,697,12833
2009,583,11441
2010,603,11064
2011,581,10402
2012,541,9852
2013,537,9497
2014,526,9344
2015,502,9115
2016,442,9208
